"cruise","station","cast","datetime_utc","day_night","sample_split_factor","volume_ml","zoo_aliquot","haul_factor","taxa_code","taxa_name","conc_100m3","zooplankton_count","totcnt","primary_flag","secondary_flag"
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,2501,"Tomopteris",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3200,"Stomatopoda",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,3500,"Osteichthyes",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4081,"Eucalanidae",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4233,"Spinocalanus",0,0,649,1,NA
"EN608","L1","1","2018-01-31 20:46:13","Day",0.75,13.8,32,1.29487925154187,4207,"Temoropia mayumbaensis",0,0,649,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,101,"Calanus finmarchicus",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,109,"Centropages hamatus",11849.8689074982,72,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,103,"Centropages typicus",31270.487394787,190,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,157,"Clausocalanus arcuicornis",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,105,"Metridia lucens",164.581512604142,1,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,143,"Nannocalanus minor",987.489075624852,6,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,135,"Paracalanus parvus",164.581512604142,1,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,102,"Pseudocalanus minutus",20408.1075629136,124,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,104,"Temora longicornis",1810.39663864556,11,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2006,"Euphausia krohnii",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2002,"Meganyctiphanes norvegica",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2019,"Nematoscelis megalops",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2012,"Thysanoessa gregaria",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2001,"Thysanoessa inermis",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2004,"Thysanoessa longicaudata",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,2003,"Thysanoessa raschii",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,3500,"Fish",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4027,"Acartia",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,151,"Acartia tonsa",2962.46722687455,18,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4290,"Calanoida nauplius",0,0,547,1,NA
"EN608","L2","4","2018-02-01 06:24:59","Night",0.75,28.28,128,0.964344800414894,4042,"Candacia",0,0,547,1,NA
